Overriding config with config/exp1_depth.py:
# Experiment 1 - Depth sweep
# Vary: n_layer ∈ {2, 4, 8, 12}
# Fixed: n_head = 8, n_embd = 256, dropout = 0.0
# Usage: python train.py config/exp1_depth.py --n_layer=2

out_dir = 'out-exp1-depth'  # will be overridden by run script
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp1-depth'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6  # overridden via command line
n_head = 8
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp1-layer2
Overriding: n_layer = 2
Overriding: wandb_run_name = exp1-layer2
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 1.63M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 10, with 1,696,768 parameters
num non-decayed parameter tensors: 5, with 1,280 parameters
iter 1980: loss 0.7962, time 86.79ms, mfu 0.66%
iter 1990: loss 0.8028, time 88.57ms, mfu 0.67%
step 2000: train loss 0.8114, val loss 0.8129
saving checkpoint to out-exp1-layer2
iter 2000: loss 0.7821, time 14686.98ms, mfu 0.60%
iter 2010: loss 0.8454, time 86.46ms, mfu 0.61%
iter 2020: loss 0.8061, time 88.46ms, mfu 0.61%
iter 2030: loss 0.8268, time 88.99ms, mfu 0.62%
iter 2040: loss 0.7758, time 87.50ms, mfu 0.63%
iter 2050: loss 0.7961, time 87.38ms, mfu 0.63%
iter 2060: loss 0.8016, time 87.98ms, mfu 0.64%
iter 2070: loss 0.8072, time 89.79ms, mfu 0.64%
iter 2080: loss 0.8087, time 89.16ms, mfu 0.64%
iter 2090: loss 0.8031, time 90.17ms, mfu 0.64%
iter 2100: loss 0.8225, time 89.30ms, mfu 0.65%
iter 2110: loss 0.7929, time 88.51ms, mfu 0.65%
iter 2120: loss 0.8123, time 88.37ms, mfu 0.65%
iter 2130: loss 0.8190, time 89.31ms, mfu 0.65%
iter 2140: loss 0.8355, time 89.18ms, mfu 0.66%
iter 2150: loss 0.8004, time 89.07ms, mfu 0.66%
iter 2160: loss 0.7968, time 87.58ms, mfu 0.66%
iter 2170: loss 0.7797, time 90.68ms, mfu 0.66%
iter 2180: loss 0.7943, time 90.64ms, mfu 0.66%
iter 2190: loss 0.8085, time 88.60ms, mfu 0.66%
iter 2200: loss 0.7841, time 88.75ms, mfu 0.66%
iter 2210: loss 0.8170, time 88.41ms, mfu 0.66%
iter 2220: loss 0.7954, time 88.35ms, mfu 0.66%
iter 2230: loss 0.8045, time 89.45ms, mfu 0.66%
iter 2240: loss 0.8249, time 87.67ms, mfu 0.67%
step 2250: train loss 0.7945, val loss 0.7975
saving checkpoint to out-exp1-layer2
iter 2250: loss 0.8140, time 14599.23ms, mfu 0.60%
iter 2260: loss 0.7936, time 88.29ms, mfu 0.61%
iter 2270: loss 0.8469, time 89.12ms, mfu 0.61%
iter 2280: loss 0.8234, time 87.19ms, mfu 0.62%
iter 2290: loss 0.8014, time 87.76ms, mfu 0.63%
iter 2300: loss 0.7928, time 89.25ms, mfu 0.63%
iter 2310: loss 0.7694, time 88.51ms, mfu 0.64%
iter 2320: loss 0.7944, time 90.95ms, mfu 0.64%
iter 2330: loss 0.7659, time 87.35ms, mfu 0.64%
iter 2340: loss 0.7630, time 88.98ms, mfu 0.65%
iter 2350: loss 0.8013, time 87.42ms, mfu 0.65%
iter 2360: loss 0.8212, time 88.07ms, mfu 0.65%
iter 2370: loss 0.7965, time 89.04ms, mfu 0.65%
iter 2380: loss 0.7827, time 88.86ms, mfu 0.66%
iter 2390: loss 0.7907, time 89.38ms, mfu 0.66%
iter 2400: loss 0.7676, time 88.86ms, mfu 0.66%
iter 2410: loss 0.7870, time 87.67ms, mfu 0.66%
iter 2420: loss 0.7706, time 89.60ms, mfu 0.66%
iter 2430: loss 0.8006, time 85.86ms, mfu 0.66%
iter 2440: loss 0.7604, time 92.47ms, mfu 0.66%
iter 2450: loss 0.7933, time 93.30ms, mfu 0.66%
iter 2460: loss 0.7805, time 92.42ms, mfu 0.66%
iter 2470: loss 0.7707, time 92.21ms, mfu 0.66%
iter 2480: loss 0.7799, time 92.13ms, mfu 0.66%
iter 2490: loss 0.7577, time 90.75ms, mfu 0.66%
step 2500: train loss 0.7795, val loss 0.7783
saving checkpoint to out-exp1-layer2
iter 2500: loss 0.7535, time 14758.68ms, mfu 0.59%
iter 2510: loss 0.7919, time 89.23ms, mfu 0.60%
iter 2520: loss 0.7649, time 87.62ms, mfu 0.61%
iter 2530: loss 0.7911, time 93.55ms, mfu 0.61%
iter 2540: loss 0.7345, time 88.77ms, mfu 0.62%
iter 2550: loss 0.8184, time 87.63ms, mfu 0.62%
iter 2560: loss 0.7883, time 88.60ms, mfu 0.63%
iter 2570: loss 0.7869, time 88.21ms, mfu 0.63%
iter 2580: loss 0.7781, time 90.00ms, mfu 0.64%
iter 2590: loss 0.7959, time 89.00ms, mfu 0.64%
iter 2600: loss 0.7688, time 87.71ms, mfu 0.64%
iter 2610: loss 0.7797, time 89.29ms, mfu 0.65%
iter 2620: loss 0.8072, time 90.60ms, mfu 0.65%
iter 2630: loss 0.7596, time 90.02ms, mfu 0.65%
iter 2640: loss 0.7789, time 89.56ms, mfu 0.65%
iter 2650: loss 0.7762, time 88.02ms, mfu 0.65%
iter 2660: loss 0.7692, time 86.25ms, mfu 0.66%
iter 2670: loss 0.7823, time 90.54ms, mfu 0.66%
iter 2680: loss 0.7873, time 90.05ms, mfu 0.66%
iter 2690: loss 0.8059, time 86.99ms, mfu 0.66%
iter 2700: loss 0.7785, time 86.99ms, mfu 0.66%
iter 2710: loss 0.7610, time 90.69ms, mfu 0.66%
iter 2720: loss 0.7534, time 86.16ms, mfu 0.67%
iter 2730: loss 0.7767, time 88.67ms, mfu 0.67%
iter 2740: loss 0.7764, time 88.21ms, mfu 0.67%
step 2750: train loss 0.7632, val loss 0.7657
saving checkpoint to out-exp1-layer2
iter 2750: loss 0.7842, time 13781.09ms, mfu 0.60%
iter 2760: loss 0.7832, time 90.42ms, mfu 0.61%
iter 2770: loss 0.7424, time 90.82ms, mfu 0.61%
iter 2780: loss 0.7784, time 89.06ms, mfu 0.62%
iter 2790: loss 0.7496, time 86.96ms, mfu 0.62%
iter 2800: loss 0.7771, time 88.91ms, mfu 0.63%
iter 2810: loss 0.7404, time 87.51ms, mfu 0.63%
iter 2820: loss 0.7941, time 89.72ms, mfu 0.64%
iter 2830: loss 0.7189, time 87.17ms, mfu 0.64%
iter 2840: loss 0.7483, time 87.21ms, mfu 0.65%
iter 2850: loss 0.7680, time 88.34ms, mfu 0.65%
iter 2860: loss 0.7492, time 87.97ms, mfu 0.65%
iter 2870: loss 0.7411, time 87.41ms, mfu 0.66%
iter 2880: loss 0.7628, time 88.42ms, mfu 0.66%
iter 2890: loss 0.7591, time 88.80ms, mfu 0.66%
iter 2900: loss 0.7510, time 87.58ms, mfu 0.66%
iter 2910: loss 0.7650, time 89.61ms, mfu 0.66%
iter 2920: loss 0.7151, time 87.73ms, mfu 0.66%
iter 2930: loss 0.7679, time 88.52ms, mfu 0.66%
iter 2940: loss 0.7440, time 88.25ms, mfu 0.67%
iter 2950: loss 0.7893, time 88.65ms, mfu 0.67%
iter 2960: loss 0.7221, time 99.99ms, mfu 0.66%
iter 2970: loss 0.7589, time 95.33ms, mfu 0.66%
iter 2980: loss 0.7777, time 95.41ms, mfu 0.65%
iter 2990: loss 0.7955, time 95.73ms, mfu 0.65%
step 3000: train loss 0.7513, val loss 0.7529
saving checkpoint to out-exp1-layer2
iter 3000: loss 0.7510, time 14845.91ms, mfu 0.59%
iter 3010: loss 0.7614, time 93.29ms, mfu 0.59%
iter 3020: loss 0.7241, time 95.66ms, mfu 0.59%
iter 3030: loss 0.7579, time 95.32ms, mfu 0.60%
iter 3040: loss 0.7822, time 94.91ms, mfu 0.60%
iter 3050: loss 0.7169, time 94.61ms, mfu 0.60%
iter 3060: loss 0.7259, time 94.61ms, mfu 0.61%
iter 3070: loss 0.7483, time 96.04ms, mfu 0.61%
iter 3080: loss 0.6884, time 96.07ms, mfu 0.61%
iter 3090: loss 0.7279, time 97.96ms, mfu 0.61%
iter 3100: loss 0.7623, time 96.01ms, mfu 0.61%
iter 3110: loss 0.7624, time 95.29ms, mfu 0.61%
iter 3120: loss 0.7684, time 95.29ms, mfu 0.61%
iter 3130: loss 0.7401, time 95.11ms, mfu 0.62%
iter 3140: loss 0.7060, time 93.23ms, mfu 0.62%
iter 3150: loss 0.7311, time 94.42ms, mfu 0.62%
iter 3160: loss 0.7374, time 95.64ms, mfu 0.62%
iter 3170: loss 0.6976, time 93.86ms, mfu 0.62%
iter 3180: loss 0.7362, time 96.58ms, mfu 0.62%
iter 3190: loss 0.7532, time 100.30ms, mfu 0.62%
iter 3200: loss 0.7257, time 95.50ms, mfu 0.62%
iter 3210: loss 0.7431, time 95.00ms, mfu 0.62%
iter 3220: loss 0.7400, time 95.63ms, mfu 0.62%
iter 3230: loss 0.7274, time 95.33ms, mfu 0.62%
iter 3240: loss 0.7369, time 93.59ms, mfu 0.62%
step 3250: train loss 0.7383, val loss 0.7378
saving checkpoint to out-exp1-layer2
iter 3250: loss 0.7527, time 14469.28ms, mfu 0.56%
iter 3260: loss 0.7374, time 95.18ms, mfu 0.57%
iter 3270: loss 0.7463, time 93.42ms, mfu 0.57%
iter 3280: loss 0.7474, time 101.82ms, mfu 0.58%
iter 3290: loss 0.7496, time 95.69ms, mfu 0.58%
iter 3300: loss 0.7618, time 94.51ms, mfu 0.59%
iter 3310: loss 0.7290, time 94.96ms, mfu 0.59%
iter 3320: loss 0.7446, time 93.61ms, mfu 0.59%
iter 3330: loss 0.7619, time 95.25ms, mfu 0.60%
iter 3340: loss 0.7137, time 95.87ms, mfu 0.60%
iter 3350: loss 0.7268, time 96.00ms, mfu 0.60%
iter 3360: loss 0.7345, time 97.19ms, mfu 0.60%
iter 3370: loss 0.7499, time 96.80ms, mfu 0.61%
iter 3380: loss 0.7293, time 94.44ms, mfu 0.61%
iter 3390: loss 0.7213, time 99.79ms, mfu 0.61%
iter 3400: loss 0.7510, time 92.34ms, mfu 0.61%
iter 3410: loss 0.6859, time 94.20ms, mfu 0.61%
iter 3420: loss 0.6934, time 96.49ms, mfu 0.61%
iter 3430: loss 0.7717, time 92.87ms, mfu 0.62%
iter 3440: loss 0.7513, time 94.65ms, mfu 0.62%
iter 3450: loss 0.7556, time 92.54ms, mfu 0.62%
iter 3460: loss 0.7405, time 94.63ms, mfu 0.62%
iter 3470: loss 0.7100, time 93.56ms, mfu 0.62%
iter 3480: loss 0.7373, time 94.88ms, mfu 0.62%
iter 3490: loss 0.7558, time 95.26ms, mfu 0.62%
step 3500: train loss 0.7260, val loss 0.7281
saving checkpoint to out-exp1-layer2
iter 3500: loss 0.6938, time 14841.34ms, mfu 0.56%
iter 3510: loss 0.7509, time 95.02ms, mfu 0.57%
iter 3520: loss 0.7215, time 95.17ms, mfu 0.57%
iter 3530: loss 0.7353, time 97.02ms, mfu 0.58%
iter 3540: loss 0.7114, time 97.58ms, mfu 0.58%
iter 3550: loss 0.6868, time 94.88ms, mfu 0.59%
iter 3560: loss 0.7070, time 97.32ms, mfu 0.59%
iter 3570: loss 0.7627, time 95.95ms, mfu 0.59%
iter 3580: loss 0.6844, time 94.93ms, mfu 0.60%
iter 3590: loss 0.7495, time 97.61ms, mfu 0.60%
iter 3600: loss 0.6913, time 93.41ms, mfu 0.60%
iter 3610: loss 0.7041, time 95.83ms, mfu 0.60%
iter 3620: loss 0.7366, time 97.27ms, mfu 0.61%
iter 3630: loss 0.7043, time 92.89ms, mfu 0.61%
iter 3640: loss 0.7466, time 92.69ms, mfu 0.61%
iter 3650: loss 0.7473, time 93.99ms, mfu 0.61%
iter 3660: loss 0.7419, time 92.41ms, mfu 0.62%
iter 3670: loss 0.7334, time 92.20ms, mfu 0.62%
iter 3680: loss 0.7043, time 93.69ms, mfu 0.62%
iter 3690: loss 0.7443, time 95.68ms, mfu 0.62%
iter 3700: loss 0.7158, time 94.46ms, mfu 0.62%
iter 3710: loss 0.6859, time 94.18ms, mfu 0.62%
iter 3720: loss 0.7334, time 97.87ms, mfu 0.62%
iter 3730: loss 0.6918, time 97.16ms, mfu 0.62%
iter 3740: loss 0.6923, time 96.11ms, mfu 0.62%
step 3750: train loss 0.7166, val loss 0.7182
saving checkpoint to out-exp1-layer2
iter 3750: loss 0.7369, time 14795.35ms, mfu 0.56%
iter 3760: loss 0.7033, time 92.99ms, mfu 0.57%
iter 3770: loss 0.7084, time 99.03ms, mfu 0.57%
iter 3780: loss 0.7693, time 96.35ms, mfu 0.58%
iter 3790: loss 0.7459, time 94.65ms, mfu 0.58%
iter 3800: loss 0.7268, time 93.66ms, mfu 0.59%
